Date,Spending,Surplus
12/01/2014,2712.4280000000003,717.0749999999999
19/01/2014,1250.4730000000002,-254.0044
26/01/2014,1655.958,355.6263
02/02/2014,623.6659999999999,-13.2304
09/02/2014,14.56,5.5328
16/02/2014,1779.6180000000002,119.57209999999999
23/02/2014,45.480000000000004,-4.4132
02/03/2014,1893.995,-198.624
09/03/2014,1895.7859999999998,-141.6135
16/03/2014,1193.936,292.40880000000004
23/03/2014,5318.368,-1048.5491
30/03/2014,3146.3830000000003,-130.7574
06/04/2014,2242.0220000000004,250.56709999999998
13/04/2014,1805.0810000000004,208.59910000000002
20/04/2014,1786.568,-114.5448
27/04/2014,2605.65,219.1145
04/05/2014,670.6439999999999,102.90759999999999
11/05/2014,3080.26,-142.219
18/05/2014,1707.2939999999999,-53.7535
25/05/2014,287.284,0.7575000000000003
01/06/2014,3822.3689999999997,421.19559999999996
08/06/2014,3091.835,-393.9797
15/06/2014,4344.546,340.6532
22/06/2014,1979.1275999999998,25.488400000000006
29/06/2014,1766.5569999999998,34.512
06/07/2014,711.216,69.2072
13/07/2014,3591.5089999999996,147.10740000000004
20/07/2014,1402.812,-167.684
27/07/2014,3617.786,52.73770000000001
03/08/2014,1760.6059999999998,123.1386
10/08/2014,2621.1960000000004,461.4592
17/08/2014,1146.018,-202.6404
24/08/2014,1867.176,345.20459999999997
31/08/2014,1423.0785,209.18810000000002
07/09/2014,1859.167,399.08399999999995
14/09/2014,11399.295999999998,944.5765000000002
21/09/2014,4195.038,-99.8965
28/09/2014,3194.3518000000004,219.8254
05/10/2014,4313.877,316.63969999999995
12/10/2014,805.102,-3.6774
19/10/2014,4528.638,810.1528999999999
26/10/2014,1617.228,-131.8925
02/11/2014,4397.754,-296.7902
09/11/2014,3506.176,-330.4632
16/11/2014,3873.2736999999997,-28.5712
23/11/2014,9634.792,-7.6389
30/11/2014,4360.907,18.51769999999997
07/12/2014,6321.598,270.1634000000001
14/12/2014,6262.414499999999,272.40060000000005
21/12/2014,11779.812,1000.9619999999999
28/12/2014,3030.678,233.416
04/01/2015,5248.5316,-377.7864
11/01/2015,1079.688,-380.233
18/01/2015,797.1940000000001,-181.0674
25/01/2015,301.742,-21.7122
01/02/2015,7564.25,-1818.5232
08/02/2015,1808.942,416.088
15/02/2015,244.70399999999998,-7.647
22/02/2015,35.544,-0.8886
01/03/2015,2457.9344,-69.5598
08/03/2015,3490.999,679.5762
15/03/2015,1422.144,239.77620000000002
22/03/2015,690.5156000000001,10.787000000000004
29/03/2015,5094.25,699.6763
05/04/2015,2296.918,-283.3618
12/04/2015,491.8,10.545899999999998
19/04/2015,3812.1519999999996,-7.6703
26/04/2015,2718.1275,172.1912
03/05/2015,3119.3730000000005,413.7526
10/05/2015,632.6099999999999,36.467
17/05/2015,1666.7234999999998,152.44830000000002
24/05/2015,841.117,-123.5989
31/05/2015,4660.952,750.6047000000001
07/06/2015,1557.918,181.1772
14/06/2015,1824.688,-17.2495
21/06/2015,1651.868,150.1896
28/06/2015,2541.719,-729.8459
05/07/2015,1620.5520000000001,-16.0679
12/07/2015,2071.887,55.7667
19/07/2015,5135.326,77.43750000000003
26/07/2015,3732.6989999999996,-189.5792
02/08/2015,2645.398,-598.6156
09/08/2015,2497.5592,-22.8814
16/08/2015,737.764,-154.3278
23/08/2015,1754.848,28.650000000000002
30/08/2015,1702.1339999999998,-190.8327
06/09/2015,3433.866,467.0596
13/09/2015,4388.054,603.0278
20/09/2015,13213.143999999998,-968.0089
27/09/2015,6790.79,1448.9946
04/10/2015,625.0719999999999,55.590799999999994
11/10/2015,2285.8255,-528.8966
18/10/2015,4635.1539999999995,-213.1978
25/10/2015,3658.9049999999997,15.002799999999997
01/11/2015,1916.055,253.2707
08/11/2015,12301.110999999999,2173.5613000000003
15/11/2015,4735.0851999999995,342.2187
22/11/2015,7512.5887999999995,-40.412
29/11/2015,4122.4595,231.38739999999996
06/12/2015,10053.807,1118.3870000000002
13/12/2015,2957.99,164.67380000000003
20/12/2015,3279.604,148.3339
27/12/2015,7894.8582,-893.1592
03/01/2016,1781.55,377.25480000000005
10/01/2016,1708.894,442.0288
17/01/2016,875.155,89.4492
24/01/2016,1802.354,65.8264
31/01/2016,1469.5500000000002,-682.0375
07/02/2016,1922.0140000000001,207.5898
14/02/2016,802.491,-42.5334
21/02/2016,1184.854,218.8604
28/02/2016,16.192,-6.8816
06/03/2016,2378.218,-730.9382
13/03/2016,2969.683,236.5231
20/03/2016,4409.784,172.4681
27/03/2016,1157.32,-208.0246
03/04/2016,4736.638999999999,670.8984
10/04/2016,2322.259,282.4852
17/04/2016,3980.6669999999995,198.3634
24/04/2016,3417.558,-857.933
01/05/2016,1011.674,-96.348
08/05/2016,3720.208,484.3837000000001
15/05/2016,119.596,42.480599999999995
22/05/2016,2419.8140000000003,486.98359999999997
29/05/2016,4974.146000000001,533.7265999999998
05/06/2016,4397.08,-41.6436
12/06/2016,4048.584,-75.7423
19/06/2016,5039.159000000001,185.4043
26/06/2016,1172.722,-59.7161
03/07/2016,2652.092,323.91999999999996
10/07/2016,3383.409,433.104
17/07/2016,938.6879999999999,81.975
24/07/2016,2886.402,336.90680000000003
31/07/2016,5136.405999999999,167.40309999999997
07/08/2016,265.576,64.60640000000001
14/08/2016,1672.1885,-292.8941
21/08/2016,4989.024,-23.2266
28/08/2016,4316.8598,138.26460000000003
04/09/2016,3680.764,-482.6486
11/09/2016,7875.1886,-317.5268
18/09/2016,8188.896000000002,1189.3142
25/09/2016,5649.551,396.4674
02/10/2016,3675.3513000000003,-556.5465
09/10/2016,2357.56,88.0472
16/10/2016,1488.1500000000003,-768.4098
23/10/2016,3256.664,114.4208
30/10/2016,1937.192,376.64019999999994
06/11/2016,9356.070800000001,-404.6919
13/11/2016,11346.386,877.4072000000001
20/11/2016,2779.9759999999997,-234.5716
27/11/2016,9404.302999999998,958.4449
04/12/2016,6087.365,-23.1663
11/12/2016,10282.552,892.2683
18/12/2016,8186.790999999999,-18.054
25/12/2016,10181.337,1611.9478
01/01/2017,4078.7780000000002,119.98500000000004
08/01/2017,1806.4099999999999,-89.2688
15/01/2017,269.58,77.59259999999999
22/01/2017,1942.327,29.772000000000002
29/01/2017,326.35,63.0125
05/02/2017,962.9150000000001,-98.471
12/02/2017,1940.545,234.6116
19/02/2017,2716.0204000000003,-375.9836
26/02/2017,1890.732,-73.5483
05/03/2017,1296.464,39.0577
12/03/2017,1237.43,-179.4479
19/03/2017,951.646,-14.7414
26/03/2017,4827.308000000001,1147.182
02/04/2017,3846.4728,173.1591
09/04/2017,1775.1585,-175.8702
16/04/2017,1300.0529999999999,31.69749999999999
23/04/2017,2660.362,208.85070000000002
30/04/2017,2064.5086,-26.5719
07/05/2017,7563.8318,-276.8365
14/05/2017,2854.305,-403.5857
21/05/2017,4315.4259999999995,477.9655
28/05/2017,1684.103,148.7334
04/06/2017,3189.5964,398.88339999999994
11/06/2017,2604.894,103.57349999999997
18/06/2017,5614.8635,425.71449999999993
25/06/2017,3534.223,274.4273
02/07/2017,4604.9022,-316.7627
09/07/2017,2807.8420000000006,-73.1609
16/07/2017,2963.551,444.8395
23/07/2017,4442.237,-190.4961
30/07/2017,1562.432,131.9843
06/08/2017,505.432,16.650000000000002
13/08/2017,2670.686,508.10659999999996
20/08/2017,5592.789999999999,-483.7965
27/08/2017,4854.588,-6.1337
03/09/2017,5900.241,687.6395
10/09/2017,6038.825,-710.4435
17/09/2017,8620.542,855.0393000000001
24/09/2017,8494.12,1085.2085
01/10/2017,2389.576,-60.3867
08/10/2017,4619.608,-1358.1676
15/10/2017,6753.494999999999,-150.1724
22/10/2017,5757.5992,-937.1452
29/10/2017,2891.848,-36.083
05/11/2017,8570.840000000002,360.2118000000001
12/11/2017,6318.566000000001,-217.8878
19/11/2017,7207.635,208.51940000000002
26/11/2017,6914.896000000001,580.6647
03/12/2017,16008.171999999999,-178.6637
10/12/2017,8794.403999999999,519.7188
17/12/2017,4639.8189999999995,-780.1243
24/12/2017,7274.043000000001,557.5274
31/12/2017,4037.5647999999997,447.9969
