Country,Year,GDP [million Euro],Population,Emissions_GHG [thousand tonnes CO2eq],Emissions_NOx [tonne],Emissions_PM2.5 [tonne],Emissions_PM10 [tonne],Emissions_SOx [tonne],Emissions_NMVOC [tonne],Emissions_NH3 [tonne],Emissions_Pb [tonne],Emissions_Cd [tonne],Emissions_Hg [tonne],Emissions_As [tonne],Emissions_Ni [tonne],Emissions_Cr [tonne]
Greece,1997,126353.8,10629267,115486.24,423540,67490,94710,546330,307370,78610,392,9,2,3,51,7
Spain,1997,520831,39971329,301830.35,1323220,169860,248920,1625110,973310,469310,754,23,10,16,154,32
France,1997,1282409.5,59726386,514393.43,1780120,372260,481980,783280,2299600,647800,1139,16,16,17,213,180
Croatia,1997,21332.1,4533028,17153.73,90210,39110,50660,77210,109600,45200,190,1,0,1,12,4
Italy,1997,1096302,56876364,518838.31,1838090,212390,269980,1138030,1961950,456020,1706,10,14,25,95,40
Cyprus,1997,8414.2,666313,7161.79,21320,2600,4920,43980,13340,9730,25,0,0,0,8,0
Latvia,1997,5751.2,2444912,-1161,48620,28920,33590,43970,61150,15370,162,1,0,14,9,2
Lithuania,1997,8922.8,3588013,22610.71,81690,8320,9970,70120,84240,38620,4,0,0,0,13,1
Luxembourg,1997,17266.5,416850,8872.75,35260,5180,5890,5980,18850,5920,6,0,0,Not Available,Not Available,Not Available
Hungary,1997,41741.4,10301247,75345.7,197400,52400,74400,625630,193380,78000,97,2,2,3,19,11
Malta,1997,3346.8,381405,2811.58,10890,980,1250,10280,3450,1950,0,0,0,0,5,0
Netherlands,1997,367861.6,15567107,238357.21,521010,39290,53940,109510,372720,212820,55,3,1,1,56,6
Austria,1997,187853.7,7964966,62976.64,202250,24960,38630,40400,224520,62970,19,1,1,0,0,0
Poland,1997,140649.2,38639341,414192.84,1055390,225580,395310,1921130,898050,370820,553,11,13,56,164,50
Portugal,1997,103306.6,10084196,60382.81,273310,73460,110730,275060,244450,73550,327,3,3,3,100,13
Romania,1997,31450.5,22581862,151082.47,375590,129750,168280,614040,321160,230670,348,5,2,35,75,22
Slovenia,1997,18320.7,1986989,13932.14,75990,13750,16790,119990,62820,20700,10,1,0,1,3,1
Slovakia,1997,19331.1,5378932,42560.86,108870,40530,49420,116990,159440,41430,51,1,2,2,3,4
Finland,1997,112033.4,5132320,60833.62,271580,30950,49680,100670,195530,35980,32,2,1,13,38,30
Sweden,1997,236645.7,8844499,32771.62,234160,38290,57710,60250,252520,62440,24,1,1,1,25,9
Norway,1997,142336.6,4392714,41329.8,239030,47810,57500,31190,404280,27900,13,1,1,3,0,13
Switzerland,1997,260529,7081346,48523.84,105770,12920,20640,21400,185020,62130,132,2,3,Not Available,Not Available,Not Available
United Kingdom,1997,1374765.3,58239312,750738.33,2363140,180840,276840,1767090,2162270,314330,1171,10,12,32,290,115
Belgium,1998,231015.7,10192264,151431.4,386910,41580,57120,211850,273090,136760,154,2,3,6,70,28
Bulgaria,1998,13437.6,8283200,48075.63,152860,25940,52370,1111630,110050,51730,319,4,2,18,26,9
Czechia,1998,59824.8,10299125,141697.3,319650,69880,93250,425350,343070,106300,227,2,3,6,19,12
Denmark,1998,158146.4,5294860,83590.6,256690,21190,32490,80600,193450,104140,25,1,2,1,11,2
Germany,1998,2000815.9,82057379,1046448.29,2013680,182990,323540,987070,2131340,624350,380,19,19,8,188,86
Estonia,1998,5067.5,1393074,15257.86,49680,17420,37810,104630,39560,9680,44,1,1,9,9,9
Ireland,1998,80565.7,3693386,70795.05,179610,23160,40000,179770,137490,127560,59,1,0,2,31,5
Greece,1998,129057.3,10693250,121254.35,450420,68960,96150,570870,313220,78650,386,9,3,3,57,7
Spain,1998,553338.4,40143449,310709.18,1309230,165150,245600,1497050,998510,494680,691,24,10,15,170,33
France,1998,1343327.3,59934884,526946.6,1809650,365180,472190,815830,2236180,649810,1021,15,14,17,213,159
Croatia,1998,22985.8,4536812,17432.2,92610,39440,51250,95560,108000,41260,180,1,0,1,14,4
Italy,1998,1134534.9,56904379,533708.83,1724570,211800,269220,1003870,1873950,456340,1572,10,14,27,102,42
Cyprus,1998,9152.6,675215,7540.46,21730,2560,4830,47340,12960,9860,23,0,0,0,9,0
Latvia,1998,6402.4,2420789,-713.85,44940,28950,33700,39840,58520,14580,155,1,0,14,10,2
Lithuania,1998,10025.7,3562261,15977.08,84180,8900,10950,86160,77010,37820,4,0,0,0,17,1
Luxembourg,1998,18005.7,422050,8111.19,34570,2340,3020,3340,17600,5970,2,0,0,Not Available,Not Available,Not Available
Hungary,1998,43408.6,10279724,73581.86,197350,51590,73940,566080,186690,80290,91,2,2,3,19,11
Malta,1998,3581.8,384176,2774.32,10550,900,1160,10450,4380,1890,0,0,0,0,5,0
Netherlands,1998,391460.9,15654192,238749.01,499710,36600,50430,100660,375820,197330,43,3,1,1,43,6
Austria,1998,195011.9,7971116,64126.86,214060,24650,38330,35630,216040,63350,18,1,1,0,0,0
Poland,1998,155011.6,38659979,378247.54,966110,196300,341890,1735020,827680,379450,478,10,13,38,149,44
Portugal,1998,110683.7,10133758,66921.33,286590,81340,181470,322240,248280,71560,339,3,3,4,126,14
Romania,1998,37063.3,22526093,131675.77,327470,116370,152040,494440,296000,225770,265,4,2,26,55,20
Slovenia,1998,19784.6,1984923,13397.92,67520,13820,16970,110050,58510,20940,9,1,0,1,3,1
Slovakia,1998,20333.8,5387650,40817.56,109170,41710,52260,117770,160680,35330,52,1,2,2,3,4
Finland,1998,119733.4,5147349,58350.59,257430,28640,45790,93410,190650,35250,37,2,1,14,34,30
Sweden,1998,241468.1,8847625,32214.3,225310,36010,55490,57060,241500,61830,23,1,1,1,24,8
Norway,1998,137395.7,4417599,39120.6,241840,43510,52400,29990,396910,28540,14,1,1,4,0,13
Switzerland,1998,271620.6,7096465,51076.84,105180,12460,20120,22140,172940,61530,91,2,3,Not Available,Not Available,Not Available
United Kingdom,1998,1474279.7,58394596,748575.32,2278770,171140,261420,1757850,1990830,315470,869,8,11,31,274,110
Belgium,1999,242307.6,10213752,145678.41,359580,40410,55490,173280,256290,132550,168,2,3,5,52,25
Bulgaria,1999,12804.4,8230371,41273.59,135960,23400,49430,840010,100390,53900,310,3,2,16,23,8
Czechia,1999,61082.9,10289621,131749.21,294610,51540,68740,231930,326280,106580,224,2,3,5,16,11
Denmark,1999,166972.1,5313577,81289.85,238530,20630,31810,59630,186260,99060,32,1,1,1,9,2
Germany,1999,2059480,82037011,1009110.54,1980150,177840,317570,806520,1969230,622270,356,18,18,8,182,83
Estonia,1999,5406.9,1379237,14520.3,44630,16070,35060,97780,36280,8930,43,1,1,9,8,9
Ireland,1999,92790.5,3732006,72206.34,180390,19910,37320,161140,129060,125330,35,1,0,2,34,5
Greece,1999,139945.1,10747768,120605.44,444270,71240,98380,555790,315410,78530,359,9,2,3,58,7
Spain,1999,595723,40303568,334621.45,1332780,161830,244190,1511300,968940,500480,623,23,11,15,204,35
France,1999,1400999,60158533,518135.24,1765320,344250,450740,714690,2146830,649340,788,14,13,16,204,130
Croatia,1999,22228.4,4527460,17940.86,96010,38530,51020,95490,105240,43780,176,1,0,2,16,5
Italy,1999,1175149.5,56909109,529814.66,1626180,208680,264880,903210,1807140,461980,1404,10,14,31,106,43
Cyprus,1999,9839.8,682862,7716.45,22030,2530,4730,49580,13650,9830,22,0,0,0,10,0
Latvia,1999,7046.7,2399248,2190.12,43390,29030,33600,32220,56050,13430,151,1,0,15,9,2
Lithuania,1999,10292.3,3536401,13845.82,71960,8170,9970,64220,68610,35000,3,0,0,0,12,1
Luxembourg,1999,20547.8,427350,8484.35,37230,2400,3030,3440,17020,6130,2,0,0,Not Available,Not Available,Not Available
Hungary,1999,46040.1,10253416,76107.4,201340,50680,72580,558610,185820,81720,29,2,2,3,17,11
Malta,1999,3861,386397,2858.84,9970,790,1060,10510,3850,1940,0,0,0,0,5,0
Netherlands,1999,419459,15760225,225140.36,492910,35420,48320,94260,355330,195900,35,3,1,1,30,5
Austria,1999,203850.6,7982461,60287.86,205880,24330,38040,33740,204890,62140,18,1,1,0,0,0
Poland,1999,159561.4,38666983,369318.54,944910,182720,322200,1554830,818400,374140,461,9,12,33,136,42
Portugal,1999,119603.3,10186634,73912.28,298110,75300,132640,331140,237450,73820,342,3,3,4,123,14
Romania,1999,33726.8,22488595,114086.63,284340,107910,140240,474710,270410,209970,144,4,2,15,45,15
Slovenia,1999,21227.5,1978334,12726.66,60690,13910,17180,96170,55710,20940,8,1,0,1,2,1
Slovakia,1999,19516.1,5393382,40244.94,105260,39380,48410,115380,153450,33680,51,1,2,2,3,3
Finland,1999,126916,5159646,56970.98,252740,28760,46080,91840,184280,37940,34,2,1,5,37,31
Sweden,1999,257109.7,8854322,29456.02,218590,33870,52990,47060,233170,60400,21,1,1,1,19,7
Norway,1999,152301.8,4445329,38580.12,234060,41560,50320,29390,405040,29260,13,1,1,4,0,12
Switzerland,1999,280220.9,7123537,51304.11,104700,12130,19530,19260,163490,60930,54,1,2,Not Available,Not Available,Not Available
United Kingdom,1999,1578395.1,58579685,718766.74,2145630,168660,256170,1354900,1798590,308950,520,8,8,29,250,95
Belgium,2000,256376.4,10239085,147197.8,360300,40030,54960,170550,232110,93460,98,3,3,4,35,21
Bulgaria,2000,14440,8190876,39208.65,144350,25310,46360,863180,108380,50610,275,4,2,7,8,8
Czechia,2000,67032.5,10278098,141399.99,297780,49480,66090,233010,313890,105760,219,2,3,4,14,12
Denmark,2000,178018.1,5330020,76598.44,226440,21150,33070,32540,185300,97400,20,1,1,1,8,2
Germany,2000,2109090,82163475,1027336.92,1904660,168880,302670,650750,1803990,626880,357,18,18,8,166,83
Estonia,2000,6171.6,1401250,13274.54,45660,15380,32130,97120,36610,8600,40,1,1,9,6,8
Ireland,2000,108495.3,3777565,76064.68,182480,20140,38570,144280,122620,119850,15,1,0,2,32,5
Greece,2000,142976,10775627,124591.03,430350,66520,128180,553490,308440,75270,340,8,3,3,50,7
Spain,2000,647851,40470182,348537.54,1351250,163830,249050,1388810,933890,523540,477,17,9,16,197,35
France,2000,1478585,60545022,529295.95,1708630,316510,420310,616120,2044340,662490,262,14,12,15,177,112
Croatia,2000,23659.5,4497735,19106.17,90910,35300,44500,60380,102810,44050,143,1,0,1,13,3
Italy,2000,1241512.9,56923524,536177.49,1504350,194560,248100,756370,1630280,453870,964,10,14,39,107,44
Cyprus,2000,10804.6,690497,8238.6,22420,2540,4760,47600,13280,9920,20,0,0,0,10,0
Latvia,2000,8632.3,2381715,-1669.63,41820,27130,31700,17760,54000,13570,153,1,0,15,7,2
Lithuania,2000,12475.7,3512074,10008.86,61320,7310,9090,39050,60650,33720,3,0,0,0,6,1
Luxembourg,2000,22986,433600,9058.16,41330,2420,3000,3660,16100,6100,1,0,0,0,0,0
Hungary,2000,51238.5,10221644,74079.69,188790,50110,74450,427350,190290,85180,19,2,2,3,14,12
Malta,2000,4412.4,388759,2784.67,9650,740,1020,9120,3810,2050,0,0,0,0,5,0
Netherlands,2000,452007,15863950,223209.22,472190,34840,49360,78200,335240,173250,28,3,1,1,20,5
Austria,2000,213606.5,8002186,63523.56,211670,24020,37740,31570,181170,60810,17,1,1,0,0,0
Poland,2000,186737.9,38263303,360077.4,885390,164040,287990,1341100,784400,361690,393,8,11,31,124,39
Portugal,2000,128414.4,10249022,76323.82,292280,74080,110450,294980,238080,76740,34,3,2,4,106,13
Romania,2000,40594.9,22455485,107585.9,293740,105540,138530,491570,289740,197020,50,3,3,6,35,15
Slovenia,2000,21866.8,1987755,12395.41,58720,14050,17420,93030,54940,21760,7,1,0,1,2,1
Slovakia,2000,22389.1,5398657,38413.24,108360,43370,52780,117290,152920,33440,48,1,2,2,3,4
Finland,2000,136442,5171302,55190.44,241060,26320,42930,81810,177970,34810,31,1,1,4,35,29
Sweden,2000,285150.3,8861426,26597.73,215370,33270,52240,44570,223030,59720,18,1,1,1,18,7
Norway,2000,185788.4,4478497,36281.48,222000,42210,51200,27050,415390,28560,11,1,1,3,0,10
Switzerland,2000,303354.3,7164444,58300.23,102270,11610,19030,16460,153910,61150,32,1,2,0,0,0
United Kingdom,2000,1798090.2,58785246,718540.52,2048830,153240,241960,1296090,1648300,303490,191,7,8,25,230,92
Belgium,2001,264334.9,10263414,145811.2,347800,39150,53180,164860,226070,91090,75,2,3,4,39,19
Bulgaria,2001,15905.3,8149468,44900.21,149640,23760,44450,828500,96460,47750,255,4,1,7,7,7
Czechia,2001,75705.2,10232027,141544.32,303040,50410,66100,228720,304310,109670,93,2,3,4,13,12
Denmark,2001,184045.6,5349212,77673.48,223680,21160,32630,29900,175240,95130,19,1,1,1,7,2
Germany,2001,2172540,82259540,1035219.51,1847670,162560,287620,629560,1709070,631490,336,17,18,8,164,81
Estonia,2001,6987.1,1392720,13578.34,47760,16290,32020,90760,35490,9450,40,1,1,8,6,8
Ireland,2001,122089.2,3832783,79371.83,181630,19820,39490,142320,122660,119980,13,0,0,2,32,4
Greece,2001,152193.8,10835989,125164.07,456080,70660,133530,567130,305750,74530,67,9,3,3,54,7
Spain,2001,700993,40665545,345255.82,1319270,156180,241160,1328100,906570,519510,261,14,8,16,205,35
France,2001,1538200,60979315,522536.36,1672430,304440,406050,559460,1949170,657410,228,13,11,15,182,84
Croatia,2001,25947.3,4295406,19013.52,90980,37900,46860,59100,100580,46850,110,1,0,1,12,4
Italy,2001,1304136.8,56960692,527505.07,1474990,186220,240300,704640,1566520,453670,727,10,14,39,109,44
Cyprus,2001,11602.9,697549,8042.44,22470,2280,4330,45250,13090,10770,19,0,0,0,10,0
Latvia,2001,9374.4,2353384,-1551.99,44800,28130,32830,14310,56740,14480,154,1,0,15,7,2
Lithuania,2001,13664.6,3486998,12974.29,63110,7590,9420,42630,57320,33790,3,0,0,0,7,1
Luxembourg,2001,23879.9,439000,9558.8,43270,2580,3200,4330,15880,5990,1,0,0,0,0,0
Hungary,2001,60012.9,10200298,74316.54,188720,53850,80700,346430,190410,84420,19,2,2,3,14,12
Malta,2001,4565.5,391415,2933.73,8760,760,1100,11330,3650,1950,0,0,0,0,6,0
Netherlands,2001,481881,15987075,223920.97,460390,33130,47470,78940,306430,167240,32,3,1,1,24,5
Austria,2001,220525.1,8020946,64581.31,222450,24280,37720,32450,175860,60880,17,1,1,0,0,0
Poland,2001,212834.1,38253955,366312.58,861580,161500,285630,1315540,754420,350660,268,8,11,25,120,38
Portugal,2001,135775,10330774,72710.66,289990,71370,121750,277790,233560,73320,32,3,2,4,112,12
Romania,2001,45143.6,22430457,110335.01,301600,86180,120670,509130,274190,189920,51,3,3,6,42,15
Slovenia,2001,23249.1,1990094,13626.23,59080,16240,19750,63200,55530,21780,6,1,0,1,3,2
Slovakia,2001,23909.8,5378783,41425.26,109340,42560,51810,123120,154030,34790,41,1,2,2,3,4
Finland,2001,144628,5181115,58968.52,244340,26990,43910,95770,175090,35010,30,2,1,5,32,26
Sweden,2001,270524.5,8882792,26566.08,206270,32150,51080,42360,212980,59170,17,1,1,1,18,7
Norway,2001,194362.4,4503436,35586.04,219680,41410,50480,25420,425100,28780,10,1,1,2,0,8
Switzerland,2001,320902.7,7204055,53647.94,98880,11370,18650,17270,145640,60920,29,1,1,0,0,0
United Kingdom,2001,1830567.5,58999781,721094.55,2002100,152300,248020,1226640,1570320,295370,185,6,8,22,228,73
Belgium,2002,273255.9,10309725,145302.31,336610,36660,49970,156990,210360,88510,83,2,4,3,35,18
Bulgaria,2002,17478.3,7868815,42015.01,166020,28010,47290,758480,103930,47310,216,4,1,12,18,8
Czechia,2002,87358.2,10201182,138171.36,294190,47030,61570,223410,292400,106130,91,2,3,3,13,12
Denmark,2002,189794.9,5368354,78149.9,220920,20570,32170,28470,170180,93340,18,1,1,1,8,2
Germany,2002,2198120,82440309,1047328.57,1786220,156000,280330,566430,1617600,618950,305,16,17,8,157,79
Estonia,2002,7822.6,1383510,13270.32,48490,16530,27960,87040,34580,8950,39,1,1,8,6,8
Ireland,2002,135997.6,3899702,77079.08,174290,19030,38430,106700,122790,120460,12,0,0,2,25,3
Greece,2002,163460.8,10888274,124790.05,451190,69090,134360,551600,318880,74420,65,9,3,3,52,7
Spain,2002,749552,41035278,364806.6,1352330,151990,239920,1470260,870440,509460,134,15,9,16,225,38
France,2002,1587829,61424036,508082.41,1630550,283390,382350,518740,1821230,642130,224,12,10,14,159,59
Croatia,2002,28749.8,4305494,19778.84,93590,37840,49660,63100,103390,45530,67,1,1,1,13,4
Italy,2002,1350258.9,56987507,529083.39,1417870,156100,208320,623340,1471680,442330,264,8,14,36,113,45
Cyprus,2002,12082.9,705539,8188.65,22120,2220,4300,45420,13830,11420,18,0,0,0,10,0
Latvia,2002,10168.7,2320956,145.88,43740,27750,32590,13010,55630,14400,155,1,0,15,7,2
Lithuania,2002,15153.3,3454637,14298.84,63970,7790,9690,37310,60080,35870,3,0,0,0,6,1
Luxembourg,2002,25011.1,444050,10363.62,43600,2390,3190,3300,15850,5780,1,0,0,0,0,0
Hungary,2002,71756.1,10174853,73218.98,181420,38970,62800,272460,176670,84880,21,2,2,3,8,12
Malta,2002,4740.9,394641,3007.3,9150,770,1090,11000,3980,1980,0,0,0,0,6,0
Netherlands,2002,501137,16105285,221646.92,442840,31630,46320,71250,290790,160220,36,4,1,1,12,5
Austria,2002,226735.2,8063640,71374.19,230370,23450,36650,31390,171110,60210,18,1,1,0,0,0
Poland,2002,210560,38242197,348147.61,827400,159280,284580,1230560,774380,344930,267,8,10,19,116,37
Portugal,2002,142554.3,10394669,77786.14,295510,71100,125500,276960,227590,71350,32,3,2,4,124,13
Romania,2002,48695.7,21833483,113910.07,309010,89120,122990,508790,278490,196470,58,3,3,6,34,17
Slovenia,2002,24972.4,1994026,12773.58,58650,13940,17530,62950,51510,22350,5,1,0,1,3,1
Slovakia,2002,26340.7,5378951,39548.74,103180,32220,41440,99300,140720,36010,41,1,2,2,2,3
Finland,2002,148486,5194901,60134.08,242180,27130,44340,90380,166170,35850,31,1,1,4,38,39
Sweden,2002,283627.1,8909128,27947.73,199290,31360,50220,42370,208210,58910,14,1,1,1,19,9
Norway,2002,207898.4,4524066,33305.6,214730,41960,50940,23030,382230,29050,11,1,1,2,0,7
Switzerland,2002,329543.3,7255653,50450.63,94150,10800,18040,15050,134880,59620,26,1,1,0,0,0
United Kingdom,2002,1888699.6,59239564,698773.02,1903040,135400,218310,1104200,1480670,292070,179,6,7,19,189,62
Belgium,2003,281200.2,10355844,145706.58,331860,37130,50740,151960,200140,84610,81,2,4,3,36,18
Bulgaria,2003,18798.3,7805506,47315.7,170010,30650,53060,826250,102710,48710,252,4,2,14,21,9
Czechia,2003,88659.5,10192649,141898.61,295530,47070,61290,218390,286750,105830,76,2,3,3,14,12
Denmark,2003,193353.4,5383507,82865.37,229640,21490,32040,35330,162140,91840,19,1,1,1,8,2
Germany,2003,2211570,82536680,1040111.01,1740590,149610,266500,539040,1536520,616000,274,15,16,8,178,79
Estonia,2003,8744.4,1375190,13206.98,49400,14340,24400,100320,33330,9660,41,1,1,10,7,10
Ireland,2003,145576.4,3964191,77835.26,173190,18670,39620,82680,121150,120490,12,0,0,2,21,3
Greece,2003,178904.9,10915770,128799.35,460830,68310,129460,559830,330530,73930,65,9,3,3,53,7
Spain,2003,802266,41827838,373516.18,1343820,163700,254440,1216730,837800,519470,134,13,7,17,178,35
France,2003,1630666,61864088,508259.43,1585600,282710,382770,501510,1773860,633360,172,9,7,13,153,51
Croatia,2003,30992.8,4305384,22025.6,93060,43760,58940,63560,107280,46460,33,1,1,1,16,4
Italy,2003,1394693.2,57130506,556122.27,1397120,174610,225740,525610,1451770,441690,270,8,15,37,115,47
Cyprus,2003,12871.3,713720,8583.55,22440,2230,4290,47000,14860,10880,16,0,0,0,11,0
Latvia,2003,10499.6,2299390,715.22,45600,29040,34240,11360,55300,14520,168,1,0,16,7,2
Lithuania,2003,16650.2,3431497,15172.23,60710,7550,9390,23970,58490,36980,3,0,0,0,5,1
Luxembourg,2003,26227.3,448300,10846.56,46060,2580,3620,2990,14530,5600,2,0,0,0,0,0
Hungary,2003,75442.8,10142362,73725.77,185090,48160,75000,246110,181530,86390,21,2,2,3,7,12
Malta,2003,4823.5,397296,3286.73,8740,720,1050,11470,3170,1870,0,0,0,0,6,0
Netherlands,2003,512810,16192572,222593.8,437540,30760,43950,66570,283000,156490,32,4,1,1,13,5
Austria,2003,231862.5,8100273,86228.04,241410,23290,36420,31170,167030,60290,18,1,1,0,0,0
Poland,2003,192552.1,38218531,360031.19,838750,155560,278770,1211460,741620,330610,286,9,10,19,116,39
Portugal,2003,146067.9,10444592,83835.04,271250,67330,109190,185060,216680,65490,32,2,2,3,91,11
Romania,2003,51108.5,21627509,119151.23,314430,105010,143270,587560,292780,199810,62,3,3,7,32,18
Slovenia,2003,26247.5,1995033,12839.81,55190,14510,18200,60350,51070,21150,5,1,0,1,2,1
Slovakia,2003,30119.1,5374873,40159.75,101150,31840,40610,102080,140390,34450,18,1,1,2,2,3
Finland,2003,151749,5206295,66896.22,248630,27430,45320,101100,161910,36800,25,1,1,4,35,29
Sweden,2003,296305.5,8940788,31713.92,195770,32260,51380,42040,209030,58950,14,1,1,1,19,7
Norway,2003,202462,4552252,32296.2,215300,38680,47540,23140,335170,30150,11,1,1,2,0,5
Switzerland,2003,321415.6,7313853,51547.46,93020,10750,17990,15260,126570,58640,23,1,1,0,0,0
United Kingdom,2003,1815326.8,59501394,705243.94,1860270,136240,232140,1073310,1366100,285590,173,6,8,20,178,59
Belgium,2004,296819.7,10396421,146840.62,341750,36950,50170,154660,187910,79640,89,3,4,3,37,19
Bulgaria,2004,21093.2,7745147,45810.75,168380,30400,53550,791210,91550,49730,139,4,2,15,22,9
Czechia,2004,96554.1,10195347,143130.23,295310,46770,61020,215100,277500,101500,55,2,3,3,12,12
Denmark,2004,202422.2,5397640,76595.13,213650,21280,32400,28800,158380,92910,21,1,1,1,7,2
Germany,2004,2262520,82531671,1019768.33,1693370,143970,258340,497590,1533440,600870,255,14,15,7,169,79
Estonia,2004,9777.5,1366250,15071.46,46100,15410,24880,88170,33610,10050,39,1,1,10,7,10
Ireland,2004,156260.3,4028851,75766.84,175310,18750,40370,73310,120540,117860,12,0,0,2,21,3
Greece,2004,193715.8,10940369,129486.7,464420,69270,134610,560910,341080,76630,67,9,3,3,55,7
Spain,2004,859437,42547451,389380.93,1368130,151580,243010,1248210,817710,515140,134,13,7,15,172,34
France,2004,1704019,62292241,503990.53,1544030,268540,368130,481760,1661060,625710,159,7,7,12,150,52
Croatia,2004,33774,4305725,21725.59,91500,42750,59060,52000,113910,49450,21,1,1,1,13,3
Italy,2004,1452319,57495900,555568.91,1348090,151700,203270,488980,1348980,436690,284,8,13,29,113,49
Cyprus,2004,13937.9,722893,8820.15,22490,2240,4280,40320,15300,10580,6,0,0,0,11,0
Latvia,2004,11724,2276520,4392.08,44760,30280,42750,9300,54400,14230,169,1,0,17,7,3
Lithuania,2004,18219.4,3398929,16444.07,61440,7590,9470,24680,57480,37850,3,0,0,0,5,1
Luxembourg,2004,28189.4,454960,12205.61,54740,2580,3240,2720,16000,5640,2,0,0,0,0,0
Hungary,2004,83899.5,10116742,73606.99,182790,44560,76820,151230,176670,84060,20,1,2,3,5,12
Malta,2004,4910.4,399867,3143.53,8550,770,1380,11940,2950,1920,0,0,0,0,6,0
Netherlands,2004,529286,16258032,223863.5,422950,29620,42850,68980,262360,155030,34,4,1,1,13,5
Austria,2004,242348.3,8142573,81555.88,241260,22710,36040,26590,153700,60160,18,1,1,0,0,0
